id_producto|productos_descripcion
7798137950086|CERVEZA LONG NECK ZERO IPA, CAPE HORN, 500 cm3
7798137953100|CERVEZA RUBIA LONG NECK GOLDEN ALE, BEAGLE, 330 cm3
7798137953209|CERVEZA NEGRA LONG NECK CREAM STOUT, BEAGLE, 330 cm3
7798137953308|CERVEZA ROJA LONG NECK RED ALE, BEAGLE, 330 cm3
7798137955203|CERVEZA LONG NECK PALE ALE, CAPE HORN, 500 cm3
7798137955302|CERVEZA LONG NECK OATMEAL STOUT, CAPE HORN, 500 cm3
7798137955609|CERVEZA LONG NECK HONEY, CAPE HORN, 500 cm3
7798137955708|CERVEZA LONG NECK PILSEN, CAPE HORN, 500 cm3
7798137955920|CERVEZA EXTRA OSCURA IPA, BEAGLE, 1000 cm3
7798137955944|CERVEZA GLACIER LAGER, BEAGLE, 1000 cm3
7798137956163|CERVEZA LAGER LATA, PIONERA, 473 cm3
7798146380287|CERVEZA PATAG. SPECIAL BITTER LATA, BERLINA, 473 cm3
7798165591183|cerveza BEEPURE Honey 500cc BOT-0.5-lt.
7798165591480|cerveza BEEPURE Blonde 500cc BOT-0.5-lt.
7798165591497|cerveza BEEPURE Scotish 500cc BOT-0.5-lt.
7798165591503|cerveza BEEPURE Session Ipa 500cc BOT-0.5-lt.
7798165591510|cerveza BEEPURE Belgian White 500cc BOT-0.5-lt.
7798287170013|CERVEZA RUBIA KOLSCH PENON DEL AGUILA LATA X 473CC
7798287170020|cerveza PEÑON DEL AGUILA Roja 473cc LAT-473-ml.
7798287170037|CERVEZA  SCHWARZBIER PEÑON LAT-473-ml.
7798287170044|cerveza PEÑON DEL AGUILA Miel 473CC LAT-473-ml.
7798287170129|CERVEZA EXTRA OSC. WALDBIER LATA, PEÑON DEL AGUIL, 473 cm3
7798287170181|cerveza PEÑON DEL AGUILA Mexi Lage 473cc LAT-473-cc.
7798287170365|cerveza LIT Light Lager 473cc LAT-473-cc.
7798287170433|CERVEZA RED ALE LIT LATA X 473 CC
7798287170655|cerveza PEÑON DEL AGUILA Abstemia 473cc LAT-0.473-lt.
7798287170815|PACK CERVEZA PENON DEL AGUILA LATA 2 X473 + 1 COPA
7798332150014|CERVEZA IPA SUPER STAR BIERHAUS LAT 473 CMQ
7798332150038|CERVEZA HONEY LAZYBEE BIERHAUS LAT 473 CMQ
7798332150045|CERVEZA SCOTCH MOMENT BIERHAUS LAT 473 CMQ
7798332150076|CERVEZA APA BOSS TOWN BIERHAUS LAT 473 CMQ
7798332150151|CERVEZA IPA TIMELESS RED BIERHAUS LAT 473 CMQ
7798332150267|cerveza BIERHAUS Mex Lager 473cc LAT-473-cc.
7798332150724|cerveza BIERHAUS Chalaland 473cc LAT-0.473-lt.
7798332150779|cerveza BIERHAUS Chalalager 473cc LAT-0.473-lt.
7798332150816|CERVEZA LAGER GOLD.STATE BIERHAUS LAT 473 CMQ
7798339250137|cerveza RABIETA American Ipa 473cc LAT-473-cc.
7798339250144|cerveza RABIETA Golden Ale 473cc LAT-473-cc.
7798339250151|cerveza RABIETA Red Irish Ale 473cc LAT-473-cc.
7798339250182|cerveza RABIETA Red Honey 473cc LAT-473-cc.
7798339250199|CERVEZA RABIETA WEE HEAVY LAT 473 CMQ
7798339250212|cerveza RABIETA Helles Munich 473cc LAT-473-cc.
7798339250229|cerveza RABIETA Apa 473cc LAT-473-cc.
7798339250236|cerveza RABIETA Red Ipa 473cc LAT-473-cc.
7798339250588|CERVEZA SIETE CHOLAS AMERICAN  IPA LAT 473 CMQ
7798339250601|CERVEZA SIETE CHOLAS LAGER  LAT 473 CMQ
7798339251127|cerveza PAMPA BREWING IPA 473cc LAT-473-cc.
7798339251134|cerveza PAMPA BREWING Amber Ale 473cc LAT-473-cc.
7798339251141|cerveza PAMPA BREWING Golden Ale 473cc LAT-473-cc.
7798339251370|cerveza PAMPA BREWING Honey 473cc LAT-473-cc.
7798339251509|cerveza GUINNESS Extra Stout 473cc LAT-473-cc.
7798339251561|cerveza PAMPA BREWING Cream Stout 473cc LAT-473-cc.
7798339253336|CERVEZA HONEY SIETE CHOLAS LAT 473 ML
7798348300021|CERVEZA S TACC DE MIJO MIEL GAUTHER LATA X 473 CC
7798348300038|CERVEZA S TACC DE MIJO FRAMB GAUTHER LATA 473CC
7798348300045|CERVEZA S TACC DE MIJO ORO GAUTHER LATA X 473 CC
7798357150013|CERVEZA GOYENECHE BLONDE 500  
7798357150020|CERVEZA GOYENECHE SCOTISH 500 
7798357150037|CERVEZA GOYENECHE PORTER 500  
7798357150051|CERVEZA GOYENECHE HONEY 500   
7802100003270|CERVEZA SIN ALCOHOL 0.0 % HEINEKEN BOT 330 CMQ
7802107000562|cerveza KUNSTMANN Roja Torobayo 470cc LAT-470-cc.
7802107000876|cerveza KUNSTMANN Ipa Session 470cc LAT-470-cc.
7891149011209|CERVEZA BRAHMA CHOPP 1lt.
7891155000389|VASO CERVEZA TULIPA NADIR 300ml
7891155003229|VASO CERVEZA MUNICH NADIR 300ml
7891155003908|COPA CERVEZA FLORIDA 300ml.
7891155013150|VASO CERVEZA MUNICH NADIR 530ml
7891155013839|VASO CERVEZA FREVO NADIR 320ml
7891155042600|COPA CERVEZA DUBLIN NADIR 400ml
7891155043829|VASO CERVEZA STOUT NADIR 473ml
8008440222008|CERVEZA RUBIA PERONI BOT 330 ML
8480017273574|CERVEZA LAGER
8480017282880|CERVEZA DORADA LATA
8480017293749|CERVEZA LAGER
8480017306913|CERVEZA LAGER PET
8712000025649|CERVEZA HEINEKEN BARRIL 5lt
8712000900045|CERVEZA HEINEKEN LATA 473cc.
8712000900540|CERVEZA HEINEKEN LATA 354cc
8718104900110|CERVEZA RUBIA STRONG 12 ORANJEBOOM LATA X 500 CC
8718104902343|CERVEZA RUBIA ORIGINAL ORANJEBOOM LATA X 500 CC.
8725000183646|CERVEZA NEGRA WEIDMANN PILSENER LATA X 500 CC
