name,description,region,imageUrl,brand,specs,category,upc,ean,ean8,id_producto,categoryPath,ingredients
Quilmes Cerveza Negra Stout 6 X 473 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166686106.jpeg,Quilmes,[],Beer,,7792798001323.0,,7792798001323,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Cerveza Rubia Origen 473 Cc Pack 6 Un,"Adult signature will be required. This product may be subject to local regulations and restrictions in your country, province or state. If in doubt, please contact us or your local representatives for further information. Beverage taxes may apply. Quantity is limited to 1 pack per order.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166110068.jpeg,Andes,[],Beer,,7792798001712.0,,7792798001712,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Pack Latas 473 Cc 6 Unidades,"Descubrí la Cerveza Patagonia 24.7 en Pack de 6 Sumergite en la experiencia de nuestra 24.7, una Session IPA que combina un amargor marcado con un intenso aroma cítrico y frutal. Ideal para aquellos que buscan un sabor único y refrescante, este pack es perfecto para compartir con amigos. Características Destacadas (Cerveza Patagonia 24.7 Lata 473ml x 6) Session IPA con amargor distintivo gracias a lúpulos patagónicos. Aroma intenso de cítricos y frutas, que despierta los sentidos. Adición de sauco y miel patagónicos que equilibran el amargor. Final seco y una leve acidez que la hacen irresistible. Presentación en lata de 473ml, ideal para llevar a cualquier lugar. Por qué nos gusta (Cerveza Patagonia 24.7) Porque es una cerveza que se disfruta en cada sorbo, perfecta para cualquier ocasión. Elevá tus encuentros y brindá con el sabor auténtico de Patagonia. Compralo ahora con envío a domicilio o retiro en tienda.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166462394.jpeg,Patagonia,[],Beer,,7792798001927.0,,7792798001927,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Amber Lager En Lata 473 Ml,"Disfrutá de la Cerveza Patagonia Amber Lager en Pack de 6 Descubrí nuestra Patagonia Amber Lager, una cerveza con un suave sabor a caramelo que no podés dejar pasar. Elaborada con una combinación del más puro lúpulo patagónico y cuatro maltas especiales, esta lager te ofrece un carácter maltoso y un color ámbar irresistible. Características Destacadas (Cerveza Patagonia Amber Lager Lata 473ml x 6) Sabor suave a caramelo que deleita el paladar. Elaborada con lúpulo patagónico y cuatro maltas especiales. Color ámbar característico que la hace visualmente atractiva. Perfecta para disfrutar en cualquier ocasión con amigos y familia. Presentación en lata de 473ml, ideal para llevar a todos lados. Por qué nos gusta (Cerveza Patagonia Amber Lager) Porque combina lo mejor de la tradición cervecera con el toque único de la Patagonia. Brindá con una cerveza que refleja la calidad y el carácter de su origen. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes. Agua, malta de cebada, cereales adjuntos, lúpulo, cebada.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166686494.jpeg,Patagonia,[],Beer,,7792798001934.0,,7792798001934,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Amber Lager Lata 473 Cc,"Patagonia Amber Lager es una cerveza con una combinación de lúpulos patagónicos y un blend de finas maltas que generan su color rojizo, un delicado aroma y un amargor apacible que permite dar a luz a un tostado delicioso. Ideal para acompañar carnes asadas y pastas con salsas especiadas.",Outside of North America,https://go-upc.s3.amazonaws.com/images/114819958.jpeg,Patagonia,[],Beer,,7792798001965.0,,7792798001965,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Lata 473 Cc,"Cerveza rubia amarga, de un color dorado ayudado por el sauco es, como toda session beer, una cerveza de menor contenido alcohólico. Conservando un intenso aroma a lúpulo gracias a su técnica de Dry Hopping, combina una entrada cargada de amargor y un dejo dulce en el final a partir del sauco añadido en frío.",Outside of North America,https://go-upc.s3.amazonaws.com/images/40395680.jpeg,Patagonia,"[['Size', '473 Cm3'], ['Countries', 'Argentina']]",Beer,,7792798001972.0,,7792798001972,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Miel, Jugo De Sauco, Lúpulo'}"
Andes Origen Cerveza Rubia Lt,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166448470.jpeg,Andes Origen,"[['Size', '1l'], ['Countries', 'Spain']]",Beer,,7792798002115.0,,7792798002115,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Origen Cerveza Roja 1L,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/77676506.png,Andes Origen,"[['Size', '1l'], ['Countries', 'Spain']]",Beer,,7792798002122.0,,7792798002122,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Origen Cerveza Negra X 1 Lt,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/245143219.png,Andes Origen,[],Beer,,7792798002139.0,,7792798002139,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Origen Cerveza Roja 340Ml Retornable,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/32572937.jpeg,Andes Origen,"[['Size', '340cm'], ['Countries', 'Spain']]",Beer,,7792798002153.0,,7792798002153,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Cerveza Blanca Lata 473 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/33827934.png,Andes,[],Beer,,7792798002245.0,,7792798002245,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Cerveza Lata 473ml X6,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/59164333.jpeg,Andes,[],Beer,,7792798002252.0,,7792798002252,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Origen Mendocina Cerveza Negra Lata 473 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/37289617.png,Andes Origen Mendocina,"[['Size', '473cm'], ['Countries', 'Spain']]",Beer,,7792798002320.0,,7792798002320,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Pack X6 Cerveza Origen Roja 473 Ml,"Adult signature will be required. This product may be subject to local regulations and restrictions in your country, province or state. If in doubt, please contact us or your local representatives for further information. Beverage taxes may apply. Quantity is limited to 1 pack per order.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166110069.jpeg,Andes,[],Beer,,7792798002337.0,,7792798002337,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Cerveza Origen Negra Six Pack,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166628549.jpeg,Andes,[],Beer,,7792798002344.0,,7792798002344,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Amber Lager 730 Ml,"En Patagonia Amber Lager encontrarás una cerveza de un suave sabor a caramelo, elaborada con una combinación de 4 maltas, que le dan su característico color ámbar y sabor maltoso, dejando un sutil dulzor en boca. El sabor de la caramelización de las maltas puede recordarnos a sabores de cebollas caramelizadas, salsas agridulces, salsas de caramelo en postres cremosos. Otros platos infalibles son las carnes rojas grilladas, hamburguesas, y batatas asadas. Su sutil sabor dulce la hace perfecta para acompañar platos agridulces.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166685860.jpeg,Patagonia,"[['Size', '730'], ['Countries', 'Spain']]",Beer,,7792798002351.0,,7792798002351,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Bohemian Pilsener 730 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166688947.jpeg,Patagonia,[],Beer,,7792798002368.0,,7792798002368,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Weisse 730 Ml,"Patagonia Weisse es una cerveza tipo Belgian Witbier con trigo de cremosidad característica. En su aroma predomina la cáscara de naranja y el coriandro. Una cerveza de una complejidad en aromas que resulta muy fácil de tomar por su elevada refrescancia, bajo amargor y cuerpo liviano. Su acidez característica se complementa muy bien con platos como ceviche y escabeche. Los frutos de mar son perfectos para esta cerveza con trigo. Ideal para platos cítricos como Lemon Pie o cremas de naranja y otros postres de este estilo. Platos bien condimentados también son infalibles. El coriandro de la cerveza realza los sabores de platos especiados.",Outside of North America,https://go-upc.s3.amazonaws.com/images/103018186.jpeg,Patagonia,"[['Size', '730cm²'], ['Countries', 'Argentina,uruguay']]",Beer,,7792798002375.0,,7792798002375,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Cereales, Malta De Trigo, Lupulo, Extracto Natural De Naranja Y Coriandro'}"
Patagonia 24_7 Cerveza 24.7 730 Ml,"Cerveza rubia amarga, de un color dorado ayudado por el sauco es, como toda session beer, una cerveza de menor contenido alcohólico. Conservando un intenso aroma a lúpulo gracias a su técnica de Dry Hopping, combina una entrada cargada de amargor y un dejo dulce en el final a partir del sauco añadido en frío.",Outside of North America,https://go-upc.s3.amazonaws.com/images/103018173.jpeg,Patagonia 24_7,"[['Size', '730'], ['Countries', 'Spain']]",Beer,,7792798002399.0,,7792798002399,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Cerveza Ipa Origen Lata 473cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/38175265.png,Andes,"[['Countries', 'Spain']]",Beer,,7792798002726.0,,7792798002726,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Lupulo, Mosto De Uva'}"
